0x26160635
0xffffffff
0x0     0x00694684
0x1     0x00693698
0x3     0x0068E6C4
0x6     0x00344000
0x7     0x00F89F9C
0x8     0x003A1E0C
0x9     0x003A2A7C
0xa     0x00F8A838
0xf     0x00E792D8
0x15    0x00382338
0x17    0x0038117C
0x19    0x00390424
0x20    0x0035D0A4
0x21    0x00372314
0x22    0x02200874
0x23    0x00061C00
0x24    0x00083624
0x25    0x48061C03
0x26    0x02200850
0x28    0x02443A38
0x29    0x00CA94E0
0x2f    0x02889E64
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x02138034
0x3b    0x003B0730
0x3c    0x003B0AD4
0x3d    0x003AFFC0
0x3e    0x003B0DDC
0x3f    0x00CAC678
:EOS:
ArpTableAddrPtr      0x0289A5C8
ConfigAddr           0x0289F7E4
PingPtr              0x02325AE0
SafeSpace            0x0201D000
ImgCkSum             0x392F0635
CodeCkSum            0xE76575AB
SystemCkSum          0xA5D9F47D
TimeTablePtr         0x028CF244
LogTablePtr          0x028A1BC0
LogOptsPtr           0x028A1FD4
CritTablePtr         0x028A1FD0
MixedConfig          0x009E0DF8
SerialStrPtr         0x028CC8F4
NewPassiveHookFunc   0x00395250
NewPassiveHookLoc    0x009EBCCC
NewPassiveHookRepl   0x48061C03
flashSemAddr         0x038A19B4
flashSemUseOffset    0x00000018
Printf               0x00F8A838
Socket               0x0069BE24
Bind                 0x0069CBFC
Connect              0x0069ECFC
Send                 0x0069F53C
Recv                 0x0069FB3C
Close                0x006A004C
Malloc               0x003A1E0C
Free                 0x003A2A7C
Resched              0x00372000
:EOS:

