0x00255006            
0xffffffff            
0x0   0x00212b70      
0x1   0x002123fc      
0x2   0x00000000      
0x3   0x0020F918      
0x4   0x00000000      
0x5   0x00000000      
0x6   0x00641a04      
0x7   0x00641c9c      
0x8   0x0007a8dc      
0x9   0x0007a9d4      
0xa   0x00642d30      
0xb   0x00000000      
0xc   0x00000000      
0xd   0x00000000      
0xe   0x006266a4      
0xf   0x005e063c      
0x15  0x00000000      
0x16  0x00000000      
0x17  0x00000000      
0x20  0x94fa8      
0x21  0x73488      
0x22  0xb4a674      
0x23  0x00061c00      
0x24  0x63090      
0x25  0x4bffeb71      
0x2a  0x00            
0x2b  0x00            
0x2c  0x00            
0x2d  0x14            
0x2f  0xd86e7c      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000068      
0x33  0x00000000      
0x34  0x00000044      
0x35  0x00B3907C      
:EOS:
ImgCkSum            0x11a57744
CodeCkSum           0x5b55b79e
InterfaceAddr       0x00001024      
InterfaceLeng       0x0000          
IntSecurityOffset   0x00            
IntNameOffset       0x00            
FlashClassAddr      0x00000000      
CryptoDeviceAddr    0x00000000      
ArpTableAddrPtr     0xD8E740      
ArpTableLastPtr     0x00000000      
NumInterfaces       0x00000000      
IfaceStruct2        0x00000000      
IfaceStruct2Len     0x00            
BiosStructAddr      0x00000000      
BiosWriteAddr1      0x00000000      
BiosWriteAddr2      0x00000000      
BiosWriteAddr3      0x00000000      
BiosWriteAddr4      0x00000000      
BiosWriteAddr5      0x00000000      
BiosWriteOffset     0x00000000      
ConfigAddr          0xd8fef0      
TimeTablePtr        0x00db2f50
CritTablePtr        0x00d92488
LogTablePtr         0x00d92078
LogOptsPtr          0x00d9248c
:EOS:
