;
;
;
;
;
0x251901AB            
0xffffffff            
0x0   0x002F5750      
0x1   0x002F4E40      
0x3   0x002EFE94      
0x6   0x00BC7968      
0x7   0x00BC7B9C      
0x8   0x00098CD8      
0x9   0x000994E4      
0xa   0x00BC90D8      
0xf   0x00A87724      
0x15  0x00088490      
0x17  0x0008874C      
0x19  0x00093490      
0x28  0x00839197      
0x29  0x0083320C      
0x3b  0x000A9024      
0x3c  0x000A936C      
0x3d  0x000A8B8C      
0x3e  0x000A9634      
;
0x20  0x006AF9E8      
0x21  0x000929F4      
0x22  0x01A9D480      
0x24  0x00091D7C      
0x27  0x01800A18      
0x2f  0x01E78640      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01A85734      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01E8B1C0      
ConfigAddr          0x01E90440      
PingPtr             0x01824F04      
SafeSpace           0x01800000      
CodeCkSum           0xc5c598f0      
ImgCkSum            0x5e47d1ab      
TimeTablePtr        0x01ec0ef0
CritTablePtr        0x01e93160
LogTablePtr         0x01e92ce0
LogOptsPtr          0x01e93170
;
Printf              0x00BC90D8      
Socket              0x002FC490      
Bind                0x002FD0F0      
Connect             0x00300098      
Send                0x00300AD8      
Recv                0x00300D2C      
Close               0x003011A4      
Malloc              0x00098CD8      
Free                0x000994E4      
Resched             0x00091348      
SyscallTable        0x01800A18      
;
;
;
:EOS:
;
