;
;
;
;
;
0x25190B80            
0xffffffff            
0x0   0x002F0464      
0x1   0x002EFB68      
0x3   0x002EABF4      
0x6   0x00BA5C08      
0x7   0x00BA5E3C      
0x8   0x00098C98      
0x9   0x000994A4      
0xa   0x00BA7370      
0xf   0x00A67974      
0x15  0x0008846C      
0x17  0x00088718      
0x19  0x00093458      
0x28  0x0081AA73      
0x29  0x00814AE8      
0x3b  0x000A8FD8      
0x3c  0x000A9320      
0x3d  0x000A8B40      
0x3e  0x000A95E8      
;
0x20  0x006A6B08      
0x21  0x000929BC      
0x22  0x0199C4C8      
0x24  0x00091D44      
0x27  0x01700A18      
0x2f  0x01D77340      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x0198477C      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01D89EC0      
ConfigAddr          0x01D8F140      
PingPtr             0x017249BC      
SafeSpace           0x01700000      
CodeCkSum           0x6eaacf4f      
ImgCkSum            0x5c12db80      
TimeTablePtr        0x01dbf750
CritTablePtr        0x01d91e40
LogTablePtr         0x01d919c0
LogOptsPtr          0x01d91e50
;
Printf              0x00BA7370      
Socket              0x002F7120      
Bind                0x002F7D80      
Connect             0x002FAD28      
Send                0x002FB768      
Recv                0x002FB9BC      
Close               0x002FBE34      
Malloc              0x00098C98      
Free                0x000994A4      
Resched             0x00091314      
SyscallTable        0x01700A18      
;
;
;
:EOS:
;
