0x261608B9
0xffffffff
0x0     0x0074FEAC
0x1     0x0074EDE0
0x3     0x007489A4
0x6     0x00346000
0x7     0x011EF43C
0x8     0x003AE31C
0x9     0x003AF0D0
0xa     0x011EFD38
0xf     0x010A428C
0x15    0x0038CB88
0x17    0x0038B9C0
0x19    0x0039C4EC
0x20    0x00361C8C
0x21    0x0037835C
0x22    0x0340092C
0x23    0x00061C00
0x24    0x00083614
0x25    0x48061C03
0x26    0x03400908
0x28    0x0366F848
0x29    0x00E92F88
0x2f    0x03921F6C
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x03348034
0x3b    0x003BDF1C
0x3c    0x003BE2C0
0x3d    0x003BD7AC
0x3e    0x003BE5C8
0x3f    0x00E9613C
0x40    0x03966A88
0x41    0xFFFFFE74
0x42    0x0034B4DC
:EOS:
ArpTableAddrPtr      0x0394AB4C
ConfigAddr           0x03957210
PingPtr              0x03529C24
SafeSpace            0x032D2000
ImgCkSum             0xF749F8B9
CodeCkSum            0xD30CBEEE
SystemCkSum          0xAB2F3C16
TimeTablePtr         0x039E4E30
LogTablePtr          0x03961268
LogOptsPtr           0x0395FDA8
CritTablePtr         0x03961278
MixedConfig          0x00B674E0
SerialStrPtr         0x039E04D4
NewPassiveHookFunc   0x003A1658
NewPassiveHookLoc    0x00B747B0
NewPassiveHookRepl   0x48061C03
flashSemAddr         0x03CF11BC
flashSemUseOffset    0x00000018
Printf               0x011EFD38
Socket               0x0075797C
Bind                 0x00758754
Connect              0x0075A924
Send                 0x0075B1C8
Recv                 0x0075B858
Close                0x0075BD78
Malloc               0x003AE31C
Free                 0x003AF0D0
Resched              0x00378000
:EOS:

