;
;
;
;
0x26180A1E                  
0xffffffff                  
0x0     0x003E40E0          
0x1     0x003E3620          
0x3     0x003DCE60          
0x6     0x00E72F20          
0x7     0x00E731C0          
0x8     0x000A2AC0          
0x9     0x000A33E0          
0xa     0x00E747E0          
0xf     0x00CEEF80          
0x15    0x0008B8A0          
0x17    0x0008BBE0          
0x19    0x0009C370          
0x28    0x01BE4BE0          
0x29    0x00A2A994          
0x3b    0x000B6DC0          
0x3c    0x000B7160          
0x3d    0x000B68E0          
0x3e    0x000B7460          
0x3f    0x00A2DBE0          
0x20    0x00863AE0          
0x21    0x00097100          
0x22    0x01E371C4          
0x24    0x00096358          
0x27    0x01A01638          
0x2f    0x02593FC0          
;
0x30    0x00000018          
0x31    0x00000034          
0x32    0x00000094          
0x33    0x00000000          
0x34    0x00000070          
0x35    0x01E1F32C          
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr      0x025AC560             
ConfigAddr           0x025B2440             
PingPtr              0x01A56C38             
SafeSpace            0x01A00000             
CodeCkSum            0x532A88A6             
ImgCkSum             0xCD848A1E             
TimeTablePtr         0x025F3090             
CritTablePtr         0x025B5460             
LogTablePtr          0x025B4FE0             
LogOptsPtr           0x025B5470             
;
Printf               0x00E747E0             
Socket               0x003EBA40             
Bind                 0x003EC6C0             
Connect              0x003EF9C0             
Send                 0x003F04C0             
Recv                 0x003F0760             
Close                0x003F0B60             
Malloc               0x000A2AC0             
Free                 0x000A33E0             
Resched              0x00095820             
SyscallTable         0x01A01638             
;
;
:EOS
;

