0x05005301
0xffffffff
0x0     0x002E0460
0x1     0x002DF978
0x3     0x002DC8E4
0x6     0x008C9BD4
0x7     0x008C9FA0
0x8     0x00099E0C
0x9     0x0009A6C0
0xa     0x008CB5E4
0xe     0x008A1CE8
0xf     0x00859954
0x20    0x000C2274
0x21    0x00091E44
0x22    0x014366E0
0x24    0x00081C7C
0x2f    0x01554350
0x30    0x00000018
0x31    0x00000034
0x32    0x0000006c
0x33    0x00000000
0x34    0x00000048
0x35    0x01422084
:EOS:
;FlashChipAddr        0xBF000000
;FlashSemAddr         0x01555608
;FlashSemUseOffset    0x00000018
ArpTableAddrPtr      0x01772990
ConfigAddr           0x01554958
PingPtr              0x01457344
SafeSpace            0x01400000
ImgCkSum             0x38C2612F
CodeCkSum            0x6EA06316
SystemCkSum          0xF6DDCF8B
TimeTablePtr         0x01555230
CritTablePtr         0x01554A00
LogTablePtr          0x015549F0
LogOptsPtr           0x01777390
Printf               0x008CB5E4
Socket               0x002E7094
Bind                 0x002E7C9C
Connect              0x002EAC8C
Send                 0x002EB424
Recv                 0x002EB934
Close                0x002EBDAC
Malloc               0x00099E0C
Free                 0x0009A6C0
Resched              0x000913F4
:EOS:
