0x05005004
0xffffffff
0x0     0x002162BC
0x1     0x00215BD8
0x3     0x0021332C
0x6     0x006205E4
0x7     0x006208A8
0x8     0x00098A84
0x9     0x00098B58
0xa     0x00621610
0xe     0x006043A4
0xf     0x005C0C48
0x20    0x000B17B0
0x21    0x00091B4C
0x22    0x01033674
0x24    0x00081694
0x2f    0x01142DF4
0x30    0x00000018
0x31    0x00000034
0x32    0x00000068
0x33    0x00000000
0x34    0x00000044
0x35    0x0102207C
:EOS:
ArpTableAddrPtr      0x0127F500
ConfigAddr           0x011431E4
PingPtr              0x0104B6D0
SafeSpace            0x01000000
ImgCkSum             0x5CEB173E
CodeCkSum            0x86419BA8
SystemCkSum          0x362DC80E
TimeTablePtr         0x01143940
CritTablePtr         0x011432A8
LogTablePtr          0x01143298
LogOptsPtr           0x012831B0
Printf               0x00621610
Socket               0x0021B734
Bind                 0x0021BFDC
Connect              0x0021E364
Send                 0x0021E910
Recv                 0x0021EC14
Close                0x0021EFB0
Malloc               0x00098A84
Free                 0x00098B58
Resched              0x00091298
:EOS:
