0x02005306
0xffffffff
0x0     0x00115578
0x1     0x00114A90
0x3     0x001119C4
0x6     0x008CCB1C
0x7     0x008CCEF4
0x8     0x001CD28C
0x9     0x001CDB40
0xa     0x008CE548
0xe     0x008A4C30
0xf     0x0085CF18
0x20    0x000B6FDC
0x21    0x00091770
0x22    0x013366E4
0x24    0x00081480
0x2f    0x014534E4
0x30    0x00000018
0x31    0x00000034
0x32    0x00000070
0x33    0x00000000
0x34    0x0000004c
0x35    0x01322084
:EOS:
FlashChipAddr        0xBF000000
FlashSemAddr         0x01454678
FlashSemUseOffset    0x00000018
ArpTableAddrPtr      0x01623310
ConfigAddr           0x01453A30
PingPtr              0x0133D494
SafeSpace            0x01000000
ImgCkSum             0xA3923266
CodeCkSum            0xEB069506
SystemCkSum          0x315BC5B7
TimeTablePtr         0x014542D8
LogTablePtr          0x01453A88
LogOptsPtr           0x01675A70
CritTablePtr         0x01453A98
Printf               0x008CE548
Socket               0x0011C294
Bind                 0x0011CE9C
Connect              0x0011FEA8
Send                 0x00120640
Recv                 0x00120B50
Close                0x00120FC8
Malloc               0x001CD28C
Free                 0x001CDB40
Resched              0x00090D20
:EOS:
