0x02005001
0xffffffff
0x0     0x000D55E8
0x1     0x000D4F04
0x3     0x000D2638
0x6     0x00604728
0x7     0x006049EC
0x8     0x0013E504
0x9     0x0013E5D8
0xa     0x00605754
0xe     0x005e84e8
0xf     0x005A45DC
0x20    0x000A9394
0x21    0x00091BC0
0x22    0x01033674
0x24    0x000814F4
0x2f    0x011405B8
0x30    0x00000018
0x31    0x00000034
0x32    0x00000068
0x33    0x00000000
0x34    0x00000044
0x35    0x0102207C
:EOS:
FlashChipAddr        0xBF000000
FlashSemAddr         0x01141390
FlashSemUseOffset    0x00000018
ArpTableAddrPtr      0x01271910
ConfigAddr           0x01140960
PingPtr              0x01038A64
SafeSpace            0x01000000
ImgCkSum             0xE3454592
CodeCkSum            0xFCFACBAE
SystemCkSum          0xC35166CA
TimeTablePtr         0x01141040
LogTablePtr          0x011409B0
LogOptsPtr           0x0127F410
CritTablePtr         0x011409C0
Printf               0x00605754
Socket               0x000DAA24
Bind                 0x000DB2CC
Connect              0x000DD660
Send                 0x000DDC0C
Recv                 0x000DDF08
Close                0x000DE2A4
Malloc               0x0013E504
Free                 0x0013E5D8
Resched              0x000912DC
:EOS:
