0x05005008
0xffffffff
0x0     0x0021808C
0x1     0x002179A8
0x3     0x00215144
0x6     0x00623764
0x7     0x00623A28
0x8     0x00098BFC
0x9     0x00098CD0
0xa     0x006247B4
0xe     0x00607524
0xf     0x005C3AB4
0x20    0x000B1DEC
0x21    0x00091CB4
0x22    0x01034674
0x24    0x00081694
0x2f    0x011443A0
0x30    0x00000018
0x31    0x00000034
0x32    0x00000068
0x33    0x00000000
0x34    0x00000044
0x35    0x0102207C
:EOS:
FlashChipAddr        0xBF000000
FlashSemAddr         0x01145298
FlashSemUseOffset    0x00000028
ArpTableAddrPtr      0x012804A0
ConfigAddr           0x0114479C
PingPtr              0x0104C7D4
SafeSpace            0x01000000
ImgCkSum             0x566F6FE3
CodeCkSum            0x826C29A6
SystemCkSum          0x121F61B7
TimeTablePtr         0x01144F10
CritTablePtr         0x01144868
LogTablePtr          0x01144858
LogOptsPtr           0x01284150
Printf               0x006247B4
Socket               0x0021D5CC
Bind                 0x0021DE74
Connect              0x002202A8
Send                 0x00220854
Recv                 0x00220B58
Close                0x00220EF4
Malloc               0x00098BFC
Free                 0x00098CD0
Resched              0x00091364
:EOS:
