0x0500510d
0xffffffff
0x0     0x00269454
0x1     0x00268BC0
0x3     0x00265E7C
0x6     0x0079BDF8
0x7     0x0079C0BC
0x8     0x000997CC
0x9     0x00099840
0xa     0x0079D008
0xe     0x007861A0
0xf     0x007316f8
0x20    0x000B463C
0x21    0x00092234
0x22    0x0103467C
0x24    0x000814D4
0x2f    0x01137438
0x30    0x00000018
0x31    0x00000034
0x32    0x00000068
0x33    0x00000000
0x34    0x00000044
0x35    0x01022084
:EOS:
ArpTableAddrPtr      0x012FCE30
ConfigAddr           0x011378F0
PingPtr              0x0105207C
SafeSpace            0x01800000
ImgCkSum             0xBD0ADCF5
CodeCkSum            0x98584F70
ComputeCkSum         0x5065F276
TimeTablePtr         0x01138148
LogTablePtr          0x011379B0
LogOptsPtr           0x01300DD0
CritTablePtr         0x011379C0
Printf               0x0079D008
Socket               0x0026EE1C
Bind                 0x0026F6C4
Connect              0x00271BE4
Send                 0x00272190
Recv                 0x002726A0
Close                0x00272B18
Malloc               0x000997CC
Free                 0x00099840
Resched              0x00091860
:EOS:
