0x05005006
0xffffffff
0x0     0x00217488
0x1     0x00216DA4
0x3     0x00214560
0x6     0x0062204C
0x7     0x00622310
0x8     0x00098B44
0x9     0x00098C18
0xa     0x00623078
0xe     0x00605E0C
0xf     0x005C26AC
0x20    0x000B1AD0
0x21    0x00091C0C
0x22    0x01033674
0x24    0x00081694
0x2f    0x01142F54
0x30    0x00000018
0x31    0x00000034
0x32    0x00000068
0x33    0x00000000
0x34    0x00000044
0x35    0x0102207C
:EOS:
ArpTableAddrPtr      0x0127F0B0
ConfigAddr           0x01143344
PingPtr              0x0104B710
SafeSpace            0x01000000
ImgCkSum             0x164BF162
CodeCkSum            0xF552DAAE
SystemCkSum          0x421515E3
TimeTablePtr         0x01143AB0
CritTablePtr         0x0114340C
LogTablePtr          0x011433FC
LogOptsPtr           0x01282D60
Printf               0x00623078
Socket               0x0021C9D0
Bind                 0x0021D278
Connect              0x0021F650
Send                 0x0021FBFC
Recv                 0x0021FF00
Close                0x0022029C
Malloc               0x00098B44
Free                 0x00098C18
Resched              0x000912BC
:EOS:
