0x02005003
0xffffffff
0x0     0x000D50B8
0x1     0x000D49D4
0x3     0x000D2108
0x6     0x0060AA6C
0x7     0x0060AD30
0x8     0x0013FC28
0x9     0x0013FCFC
0xa     0x0060BA98
0xe     0x005EE82C
0xf     0x005AA76C
0x20    0x000A92B4
0x21    0x00091AAC
0x22    0x01033674
0x24    0x000814F4
0x2f    0x01140EB8
0x30    0x00000018
0x31    0x00000034
0x32    0x00000068
0x33    0x00000000
0x34    0x00000044
0x35    0x0102207C
:EOS:
FlashChipAddr        0xBF000000
FlashSemAddr         0x01141CB0
FlashSemUseOffset    0x00000018
ArpTableAddrPtr      0x01272080
ConfigAddr           0x01141260
PingPtr              0x01038A74
SafeSpace            0x01000000
ImgCkSum             0x8B96D381
CodeCkSum            0x3ABCD082
SystemCkSum          0x7FA0D1AE
TimeTablePtr         0x01141960
LogTablePtr          0x011412B8
LogOptsPtr           0x0127FC00
CritTablePtr         0x011412C8
Printf               0x0060BA98
Socket               0x000DA4F4
Bind                 0x000DAD9C
Connect              0x000DD124
Send                 0x000DD6D0
Recv                 0x000DD9CC
Close                0x000DDD68
Malloc               0x0013FC28
Free                 0x0013FCFC
Resched              0x000911F8
:EOS:
