0x25140478            
0xffffffff            
0x0   0x0036E2E8      
0x1   0x003815A4      
0x3   0x00648DE0      
0x6   0x0037D2B8      
0x7   0x00374D8C      
0x8   0x00384074      
0x9   0x0039CAF0      
0xa   0x0039C658      
0xf   0x00DAE754      
0x15  0x003A8630      
0x17  0x00374E78      
0x19  0x003B01F4      
0x20  0x0035CA7C      
0x21  0x0036F900      
0x22  0x0210082c      
0x23  0x00061c00      
0x24  0x0008362C      
0x25  0x48061c03      
0x26  0x02100850      
0x28  0x023143FC      
0x29  0x00BF4800      
0x2f  0x02752E68      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02038034      
0x3b  0x003C5284      
0x3c  0x003C5628      
0x3d  0x003C4B14      
0x3e  0x003C5930      
:EOS:
ArpTableAddrPtr     0x027635C0      
ConfigAddr          0x02768358      
PingPtr             0x02228598      
SafeSpace           0x01F9B000      
ImgCkSum            0xbdad2478      
CodeCkSum           0x44ce6ee8      
TimeTablePtr        0x027967c0
LogOptsPtr          0x0276ab34
CritTablePtr        0x0276ab30
LogTablePtr         0x0276a720
Printf              0x0039C658      
Socket              0x0065448C      
Bind                0x00655264      
Connect             0x00656B0C      
Send                0x0065734C      
Recv                0x00657948      
Close               0x00657E58      
Malloc              0x00384074      
Free                0x0039CAF0      
Resched             0x0036F000      
:EOS:
