0x05005001
0xffffffff
0x0     0x00212E90
0x1     0x002127AC
0x3     0x0020FEE0
0x6     0x00614E98
0x7     0x0061515C
0x8     0x00098C14
0x9     0x00098CE8
0xa     0x00615EC4
0xe     0x005F8C58
0xf     0x005B58E8
0x20    0x000B101C
0x21    0x00091CC0
0x22    0x01033674
0x24    0x00081694
0x2f    0x011420D4
0x30    0x00000018
0x31    0x00000034
0x32    0x00000068
0x33    0x00000000
0x34    0x00000044
0x35    0x0102207C
:EOS:
ArpTableAddrPtr      0x0127DF50
ConfigAddr           0x011424C4
PingPtr              0x0104B540
SafeSpace            0x01000000
ImgCkSum             0xAB466D9A
CodeCkSum            0xD9945F5B
SystemCkSum          0xE12F9EC0
TimeTablePtr         0x01142C00
CritTablePtr         0x01142580
LogTablePtr          0x01142570
LogOptsPtr           0x01281B80
Printf               0x00615EC4
Socket               0x002182CC
Bind                 0x00218B74
Connect              0x0021AF08
Send                 0x0021B4B4
Recv                 0x0021B7B0
Close                0x0021BB4C
Malloc               0x00098C14
Free                 0x00098CE8
Resched              0x000913DC
:EOS:
