;
;
;
;
;
0x25170948            
0xffffffff            
0x0   0x003B5990      
0x1   0x003B5120      
0x3   0x003B0840      
0x6   0x00AFBCF0      
0x7   0x00AFBF50      
0x8   0x0011E100      
0x9   0x0011CD60      
0xa   0x00AFC580      
0xf   0x00A1E9F0      
0x15  0x00107780      
0x17  0x001068B0      
0x19  0x001115DD      
0x28  0x008D7BFE      
0x29  0x008D27E0      
0x3b  0x0017E140      
0x3c  0x0017E440      
0x3d  0x0017D970      
0x3e  0x0017E6C0      
;
0x20  0x001480D0      
0x21  0x00105480      
0x22  0x014578AC      
0x24  0x0010FBA9      
0x2f  0x0183F384      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x0143F024      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x0185B5C0      
ConfigAddr          0x018663F4      
PingPtr             0x0148CFF8      
SafeSpace           0x016f0000      
ImgCkSum            0xa5cd5c48      
CodeCkSum           0xa5cd5c48      
TimeTablePtr        0x018df3d0
CritTablePtr        0x0186ebb0
LogTablePtr         0x0186eba0
LogOptsPtr          0x0186d6cc
;
Printf              0x00AFC580      
Socket              0x003BBFD0      
Bind                0x003BCBC0      
Connect             0x003BF9F0      
Send                0x003BFB10      
Recv                0x003BFFF0      
Close               0x003C0480      
Malloc              0x0011E100      
Free                0x0011CD60      
Resched             0x0010F250      
;
;
;
:EOS:
;
