;
;
;
;
;
0x2618056b            
0xffffffff            
0x0   0x003A8CA0      
0x1   0x003A8240      
0x3   0x003A2A60      
0x6   0x00D8DEE0      
0x7   0x00D8E160      
0x8   0x000A1F60      
0x9   0x000A26E0      
0xa   0x00D8F720      
0xf   0x00C37360      
0x15  0x0008B540      
0x17  0x0008B880      
0x19  0x0009BEFC      
0x28  0x0098CC2F      
0x29  0x00986554      
0x3b  0x000B4CE0      
0x3c  0x000B5080      
0x3d  0x000B4800      
0x3e  0x000B5380      
;
0x20  0x007DB380      
0x21  0x00096AE0      
0x22  0x01D15A54      
0x24  0x00095d38     
0x27  0x01901638      
0x2f  0x02451D40      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01CFDBDC      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x02468180      
ConfigAddr          0x0246DEC0      
PingPtr             0x0195231C      
SafeSpace           0x01900000      
CodeCkSum           0x86ab1cd6      
ImgCkSum            0x6e11056b      
TimeTablePtr        0x024ac090
CritTablePtr        0x02470e80
LogTablePtr         0x02470a00
LogOptsPtr          0x02470e90
;
Printf              0x00D8F720      
Socket              0x003B0580      
Bind                0x003B11C0      
Connect             0x003B43E0      
Send                0x003B4EE0      
Recv                0x003B5180      
Close               0x003B5660      
Malloc              0x000A1F60      
Free                0x000A26E0      
Resched             0x00095220      
SyscallTable        0x01901638      
;
;
;
:EOS:
;
