0x02005103
0xffffffff
0x0     0x000E3430
0x1     0x000E2B9C
0x3     0x000DFE58
0x6     0x0076CFE8
0x7     0x0076D2AC
0x8     0x00167608
0x9     0x0016767C
0xa     0x0076E1F8
0xe     0x0073D414
0xf     0x00701F54
0x20    0x000AB6B4
0x21    0x00092014
0x22    0x0103467C
0x24    0x000811DC
0x2f    0x01132798
0x30    0x00000018
0x31    0x00000034
0x32    0x00000068
0x33    0x00000000
0x34    0x00000044
0x35    0x01022084
:EOS:
FlashChipAddr        0xBF000000
FlashSemAddr         0x01133808
FlashSemUseOffset    0x00000018
ArpTableAddrPtr      0x012A7E50
ConfigAddr           0x01132B88
PingPtr              0x0103A4B0
SafeSpace            0x01000000
ImgCkSum             0x4BA04F72
CodeCkSum            0xC33F9472
SystemCkSum          0x2B127AC0
TimeTablePtr         0x01133380
LogTablePtr          0x01132BE4
LogOptsPtr           0x012F97B0
CritTablePtr         0x01132BF4
Printf               0x0076E1F8
Socket               0x000E8DF8
Bind                 0x000E96A0
Connect              0x000EBBC0
Send                 0x000EC16C
Recv                 0x000EC67C
Close                0x000ECAF4
Malloc               0x00167608
Free                 0x0016767C
Resched              0x00091640
:EOS:
